City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Camana,PE,68.68,overcast clouds,-16.6228,-72.7111,Hostal Morales
583,La Sarre,CA,65.44,scattered clouds,48.8002,-79.1996,Motel Villa Mon Repos
588,Itoman,JP,77.02,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
589,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Punto de encuentro
593,Siemiatycze,PL,62.26,overcast clouds,52.4272,22.8623,Hotel Kresowiak Siemiatycze
598,Colares,PT,74.86,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
600,Santa Cruz,BO,68.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
601,Zhicheng,CN,77.77,light rain,30.2956,111.5047,Wangjiang Building
602,Guiren,CN,71.78,light rain,33.6697,118.1889,Suyuan Hotel
603,Peniche,PT,72.88,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
604,Pleshanovo,RU,62.44,light rain,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
605,Powell River,CA,66.09,broken clouds,49.8496,-124.5361,Rodmay Hotel
611,Saint-Leu,RE,71.01,overcast clouds,-21.15,55.2833,La Caz Oceane
621,Namatanai,PG,79.07,moderate rain,-3.6667,152.4333,Namatanai Hotel
622,Hay River,CA,60.78,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
623,Marshall,US,78.62,clear sky,34.3834,-86.3333,Riverview Campground
629,Flin Flon,CA,65.3,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
630,Bukan,IR,69.84,clear sky,36.521,46.2089,فروشگاه پارچه صدیقی
631,Vao,NC,69.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
633,Gemena,CD,75.42,light rain,3.25,19.7667,Hôtel Goshen
634,Mangan,IN,73.65,overcast clouds,27.5167,88.5333,Hotel Mout View
636,Saint-Pierre,RE,71.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
638,Requena,ES,66.99,overcast clouds,39.4883,-1.1004,Hotel Avenida
641,Areosa,PT,77.31,few clouds,41.7178,-8.8571,Hotel Flôr de Sal
642,Kyshtovka,RU,63.82,light rain,56.555,76.6271,Uyutnaya Mini-Hotel
643,Bontang,ID,78.35,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
647,Moses Lake,US,79.18,broken clouds,47.1301,-119.2781,Ramada by Wyndham Moses Lake
651,Tagbina,PH,72.81,very heavy rain,8.4519,126.1714,AJL inn
654,Saint-Paul,RE,71.74,clear sky,-21.0096,55.2707,Boucan Canot
656,Coos Bay,US,74.86,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
657,Bundaberg,AU,62.22,broken clouds,-24.85,152.35,Takalvan Motel
658,Srivardhan,IN,78.78,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
659,Parana,AR,71.51,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
668,Aksu,CN,71.91,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
669,Ducheng,CN,79.79,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
671,Camalu,MX,64.42,few clouds,30.85,-116.0667,La Cueva del Pirata
672,Guerrero Negro,MX,66.65,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
676,Yambio,SS,77.49,broken clouds,4.5721,28.3955,Naivasha Hotel
680,Saint-Francois,FR,77.18,clear sky,46.4154,3.9054,Manoir Du Bonheur
683,Naze,JP,71.31,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
685,Mayumba,GA,77.83,light rain,-3.432,10.6554,LIKWALE LODGE
687,Ilam,NP,68.11,overcast clouds,26.9167,87.9167,चियाबारी कटेज
689,Snasa,NO,60.21,overcast clouds,64.2457,12.3778,Snåsa Hotell AS
